date,Close,High,Low,Open,Volume,news_count,avg_sentiment,max_sentiment,min_sentiment,high_impact_count,medium_impact_count,negative_count,daily_return,price_range,Target
2016-01-05,23.114971160888672,23.82163064861039,23.047456940285645,23.79912590840938,223164000,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.5059213711419392,0.7741737083247457,22.662607192993164
2016-01-06,22.662607192993164,23.038443206545868,22.475816397216335,22.63110022903077,273829600,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9570172281284215,0.562626809329533,21.706148147583008
2016-01-07,21.706148147583008,22.534335128762088,21.70164788723477,22.208012167974665,324377600,11.0,0.054,0.3612,-0.128,0.0,3.0,1.0,-4.220428114316322,0.8326872415273172,21.8209228515625
2016-01-08,21.8209228515625,22.304782359296947,21.77591338354117,22.178754475236307,283192000,4.0,0.0549,0.7717,-0.296,1.0,3.0,3.0,0.5287658740699808,0.5288689757557776,22.174257278442383
2016-01-11,22.174257278442383,22.29353393971297,21.9064462500791,22.27328018983752,198957600,5.0,0.8663000000000001,0.6369,0.0,1.0,1.0,0.0,1.6192460295261224,0.3870876896338693,22.496074676513672
2016-01-12,22.496074676513672,22.66036249346139,22.2440171969641,22.628855523142832,196616800,5.0,0.0356,0.1779,0.0,0.0,1.0,0.0,1.4513108332343538,0.4163452964972869,21.91769790649414
2016-01-13,21.91769790649414,22.772891657948627,21.8974441580709,22.577096838183675,249758400,5.0,0.0848,0.5859,-0.34,1.0,2.0,1.0,-2.571011958025582,0.8754474998777262,22.397048950195312
2016-01-14,22.397048950195312,22.61309917214332,21.54635742540325,22.045970344281358,252680400,2.0,0.2294,0.4588,0.0,0.0,1.0,0.0,2.187050144345415,1.0667417467400675,21.85918235778809
2016-01-15,21.85918235778809,21.989712226534987,21.460843219648147,21.64988505686676,319335600,8.0,-0.0502,0.0,-0.2732,0.0,2.0,2.0,-2.401506527057584,0.5288690068868398,21.75341033935547
2016-01-19,21.75341033935547,22.20126093386138,21.492350596949187,22.14724922463988,212350800,13.0,0.2396,0.5859,-0.296,2.0,4.0,2.0,-0.483879116342778,0.7089103369121936,21.78266716003418
2016-01-20,21.78266716003418,22.097738623752576,21.02424534514792,21.402330758209725,289337600,5.0,0.0027,0.4404,-0.5719,1.0,3.0,2.0,0.1344930299309377,1.073493278604655,21.672393798828125
2016-01-21,21.672393798828125,22.02797277549586,21.366324558328262,21.843431179047545,208646000,4.0,0.1726,0.4404,0.0,0.0,2.0,0.0,-0.5062436128500325,0.661648217167599,22.82465362548828
2016-01-22,22.82465362548828,22.83365586427844,22.13824965850337,22.196761635137157,263202000,5.0,0.0881,0.4404,0.0,0.0,1.0,0.0,5.316716913488628,0.6954062057750718,22.379051208496094
2016-01-25,22.379051208496094,22.849406537567848,22.32728877108087,22.847155548897288,207178000,8.0,0.2802,0.4588,0.0,0.0,2.0,0.0,-1.952285560621092,0.5221177664869785,22.50282859802246
2016-01-26,22.50282859802246,22.70312366898436,22.07073148203734,22.48932609971084,300308000,7.0,-0.0021,0.2584,-0.2732,0.0,2.0,1.0,0.5530948938504476,0.6323921869470226,21.02424430847168
2016-01-27,21.02424430847168,21.74665713553977,21.006239833260956,21.6138779941135,533478800,1.0,0.4404,0.4404,0.4404,0.0,1.0,0.0,-6.570659697780035,0.7404173022788143,21.175033569335938
2016-01-28,21.175033569335938,21.27180550313668,20.79244781263631,21.10751934480162,222715200,3.0,-0.0503,0.4404,-0.3182,0.0,3.0,2.0,0.7172160799306271,0.47935769050036825,21.906442642211918
2016-01-29,21.906442642211918,21.906442642211918,21.233541274149022,21.33256416923565,257666000,8.0,0.2045,0.6808,-0.2732,1.0,6.0,1.0,3.4541105707390773,0.6729013680628952,21.701648712158203
2016-02-01,21.701648712158203,21.76466266143647,21.46984666288399,21.710650950198147,163774000,12.0,0.2012,0.7456,-0.5719,2.0,5.0,3.0,-0.9348570801682499,0.29481599855247964,21.26280212402344
2016-02-02,21.26280212402344,21.61388085204832,21.217790930044934,21.474348726217197,149428800,6.0,-0.0192,0.7003,-0.5423,2.0,1.0,2.0,-2.0221808672485797,0.39608992200338733,21.683643341064453
2016-02-03,21.683643341064453,21.79391774774974,21.17277880164377,21.379825117012427,183857200,2.0,-0.3404,0.0,-0.6808,1.0,0.0,1.0,1.9792368596871501,0.6211389461059724,21.85786819458008
2016-02-04,21.85786819458008,22.02304746382955,21.53882566947881,21.6904274489689,185886800,1.0,0.1779,0.1779,0.1779,0.0,1.0,0.0,0.803485146731231,0.48422179435073787,21.27409172058105
2016-02-05,21.27409172058105,21.93028083623896,21.19942327595188,21.83977169505885,185672400,5.0,0.0575,0.4404,-0.1531,0.0,2.0,1.0,-2.6707841258910348,0.730857560287081,21.49809837341309
2016-02-08,21.49809837341309,21.654224844439824,21.052342357349705,21.07270600414181,216085600,8.0,-0.3528,0.3818,-0.4767,0.0,4.0,2.0,1.0529551896936162,0.6018824870901192,21.493576049804688
2016-02-09,21.493576049804688,21.70853547812662,21.253728290560428,21.33518634583552,177324800,5.0,0.0714,0.4588,-0.5423,1.0,2.0,1.0,-0.021035923874990203,0.45480718756619254,21.33066177368164
2016-02-10,21.33066177368164,21.801307972120107,21.29219594602656,21.7040109380806,169374400,1.0,-0.1027,-0.1027,-0.1027,0.0,1.0,1.0,-0.7579672909968194,0.5091120260935469,21.201684951782227
2016-02-11,21.201684951782227,21.432483350272403,20.950522902652605,21.22205032873997,200298800,14.0,0.0316,0.4404,-0.7269,2.0,7.0,3.0,-0.6046545731579145,0.48196044761979806,21.26730155944824
2016-02-12,21.26730155944824,21.382700745252,21.04555599993932,21.312556988350742,161405600,7.0,-0.0051,0.6759,-0.5423,2.0,3.0,3.0,0.30948770258232283,0.3371447453126777,21.866928100585938
2016-02-16,21.866928100585938,21.91444501811858,21.407596171451875,21.500366802924592,196231600,16.0,-0.5182,0.4767,-0.7003,3.0,7.0,5.0,2.81947636592057,0.5068488466667063,22.20180892944336
2016-02-17,22.20180892944336,22.222172580506005,21.75605281989877,21.87371349855906,179452800,5.0,-0.1807,0.0,-0.5423,1.0,1.0,2.0,1.5314488954141225,0.4661197606072349,21.78094291687012
2016-02-18,21.78094291687012,22.37603764756784,21.742475365374155,22.36472335718932,156084000,1.0,-0.5423,-0.5423,-0.5423,1.0,0.0,1.0,-1.895638386542009,0.6335622821936866,21.73116111755371
2016-02-19,21.73116111755371,21.894077218998746,21.676856325844767,21.722110031215852,141496800,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22855667684548164,0.21722089315397852,21.92122840881348
2016-02-22,21.92122840881348,21.925754815070707,21.70400751905716,21.79225345157322,137123200,9.0,-0.2374,0.128,-0.4215,0.0,5.0,3.0,0.8746301692376557,0.2217472960135467,21.42570304870605
2016-02-23,21.42570304870605,21.83525494657732,21.394025096733632,21.812628084642576,127770400,3.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.260481716016438,0.44122984984368685,21.74473571777344
2016-02-24,21.74473571777344,21.808091592422585,21.115699924731025,21.265040251819546,145022800,5.0,-0.2569,0.0,-0.7578,2.0,0.0,2.0,1.48901843893825,0.6923916676915596,21.89408493041992
2016-02-25,21.89408493041992,21.89408493041992,21.552413637676462,21.733431975554552,110330800,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6868292840386481,0.341671292743456,21.92801856994629
2016-02-26,21.92801856994629,22.179178881360585,21.853348401686738,21.9936359254636,115964400,2.0,0.1591,0.3182,0.0,0.0,1.0,0.0,0.1549899876346128,0.32583047967384715,21.878246307373047
2016-02-29,21.878246307373047,22.226705491288204,21.86919521770162,21.91671214373748,140865200,8.0,-0.4767,0.0,-0.4767,0.0,1.0,1.0,-0.2269802098829765,0.35751027358658405,22.747129440307617
2016-03-01,22.747129440307617,22.801434250203695,22.04342321030544,22.09546654259832,201628400,4.0,-0.0439,0.3818,-0.5574,1.0,1.0,1.0,3.9714478058588965,0.7580110398982534,22.79690361022949
